artist_id,artist_name,total_followers,genres,popularity
55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,980945,"['dance pop', 'pop']",71
6oMuImdp5ZcFhWP0ESe6mG,Migos,12352736,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",78
5H6xmHXjsq98NLbEjuE29f,NEIKED,114677,['scandipop'],68
6w7j5wQ5AI5OQYlcM15s2L,Extreme,439012,"['album rock', 'funk metal', 'glam metal', 'hard rock', 'rock']",60
1anyVhU62p31KFi8MEzkbf,Chance the Rapper,5648997,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",75
02kJSzxNuaWGqwubyUba0Z,G-Eazy,5064265,"['indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']",76
6X9aYHnQ75YI8o08aoa0iS,Boyzone,879522,"['boy band', 'dance pop', 'europop', 'soft rock']",60
4ehtJnVumNf6xzSCDk8aLB,Martin Jensen,1240225,"['dance pop', 'danish electronic', 'deep house', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",68
0t7vWPRBcVv4xBEHPZHSWA,Sitti,72079,['opm'],46
1vSN1fsvrzpbttOYGsliDr,Tori Kelly,2031601,"['dance pop', 'pop']",67
5ILrArfIV0tMURcHJN8Q07,Vanessa Carlton,537253,"['lilith', 'neo mellow', 'piano rock', 'pop rock', 'post-teen pop']",62
6dC0rIJNLSFZwqckLgXJ8p,Timeflies,322200,"['dance pop', 'indie pop rap', 'pop', 'pop dance', 'pop rap', 'pop rock', 'post-teen pop', 'tropical house']",57
69ug07KFFRhcCZ7iZ1Mn1i,Bailey May,57955,[],29
2Rf4X6m0oayCJhaJ5K63GQ,Nathan Sykes,472630,['post-teen pop'],56
5X4LWwbUFNzPkEas04uU82,DVBBS,983884,"['canadian electronic', 'dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']",64
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,35140940,"['dance pop', 'pop', 'post-teen pop']",80
36jaGQtMj5UWD0eO1fCVdD,Joel Adams,162696,"['australian pop', 'pop soul']",55
5PokPZn11xzZXyXSfnvIM3,Lifehouse,1795590,"['alternative metal', 'neo mellow', 'pop rock', 'post-grunge']",63
5aMmmNxw4vgpc5XC6hK0zp,The Calling,650777,"['neo mellow', 'pop rock']",60
2FwJwEswyIUAljqgjNSHgP,Snakehips,341746,"['edm', 'electro house', 'electropop', 'pop', 'pop dance', 'tropical house']",63
0AJUYWKztkg5dnrHDIBv47,MiC LOWRY,47486,[],37
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,6657430,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",72
7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2574331,"['opm', 'pinoy reggae', 'pinoy rock']",61
6aZyMrc4doVtZyKNilOmwu,Colbie Caillat,2337748,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",68
3RpJ6OyOnaXRFRXSirgQa6,Jericho Rosales,92996,['opm'],44
6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,5063073,"['dance pop', 'girl group', 'hip pop', 'pop', 'post-teen pop', 'urban contemporary']",69
2WzaAvm2bBCf4pEhyuDgCY,Ruth B.,1800167,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",75
7xEFii6utZmQ61kX59HmLH,FRENSHIP,173248,"['electropop', 'indie electropop', 'indie poptimism', 'la pop', 'pop dance', 'pop rock', 'tropical house']",55
7DW4ijH3n36QN0RlC0n649,Angeline Quinto,516343,['opm'],55
5lXfVoQxVgC5fpjkVqvNYn,Isaiah Firebrace,52190,"['australian pop', 'australian talent show']",50
4PVn1b2WnnXdq80C7uaZLZ,Nause,195174,"['edm', 'pop dance', 'progressive electro house', 'swedish pop']",46
0jnsk9HBra6NMjO2oANoPY,Flo Rida,8541407,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",78
0hEurMDQu99nJRq8pTxO14,John Mayer,5513924,"['neo mellow', 'singer-songwriter']",77
7H55rcKCfwqkyDFH9wpKM6,Christina Perri,3285178,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",70
1Fr6agZ6iSM5Ynn2k4C8sc,VÉRITÉ,282461,"['alt z', 'brooklyn indie', 'dark pop', 'electropop', 'indie electropop', 'indie pop', 'indie poptimism', 'metropopolis', 'nyc pop', 'pop', 'vapor pop', 'vapor soul']",53
5BAyYwbv8OSfqeXMjPgWX6,Toni Gonzaga,671760,"['opm', 'papuri']",51
0DdDnziut7wOo6cAYWVZC5,KREAM,201120,"['dance pop', 'deep groove house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'tropical house']",63
6Ww3OMFzCaO33ulKh1LBFN,Hale,755996,"['opm', 'pinoy reggae', 'pinoy rock', 'pop rock']",58
2nZ18B9RTjJH56v2NTnNAI,Leanne & Naara,57032,"['opm', 'pinoy indie']",46
6nxWCVXbOlEVRexSbLsTer,Flume,2275554,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']",72
4TH4BHy0LdBi3dpBW4P2UX,R. City,125639,"['reggae fusion', 'virgin islands reggae']",61
5mnS9jJdKQQcRSqFu5YPVe,Auli'i Cravalho,87509,"['disney', 'hollywood', 'movie tunes', 'show tunes']",63
2LJxr7Pt3JnP60eLxwbDOu,Mandy Moore,645900,"['dance pop', 'hollywood', 'post-teen pop']",63
0lzV2CiahHRiGd6qpADtPS,James Hersey,51505,[],49
4bYPcJP5jwMhSivRcqie2n,Adam Levine,945087,['deep talent show'],72
62WbvkXqQGvXQvw74GU3kQ,Morissette,1047373,['opm'],52
0gadJ2b9A4SKsB1RFkBb66,Passenger,2978671,"['folk-pop', 'neo mellow', 'pop', 'pop rock']",70
6jJ0s89eD6GaHleKKya26X,Katy Perry,21431369,"['dance pop', 'pop', 'post-teen pop']",83
5mNum7eUoqWS6NBo91NYHP,Abra,23241,[],11
0AuZVHIr5WSEBbBLZwWwWc,Charice,152391,"['dance pop', 'opm', 'post-teen pop', 'viral pop']",48
2MqhkhX4npxDZ62ObR5ELO,Hoobastank,2091190,"['alternative metal', 'funk metal', 'nu metal', 'pop rock', 'post-grunge', 'rock']",64
6jV25rzTKQ2zMgrqHha1V5,CHANYEOL,1661760,['k-pop'],60
7KMqksf0UMdyA0UCf4R3ux,James Blunt,2621207,"['neo mellow', 'pop', 'pop rock']",70
0zOcE3mg9nS6l3yxt1Y0bK,The Fray,3630719,"['neo mellow', 'piano rock', 'pop', 'pop rock']",68
4kYGAK2zu9EAomwj3hXkXy,JP Cooper,759844,"['dance pop', 'neo mellow', 'pop', 'tropical house', 'uk pop']",70
6vWDO969PvNqNYHIOW5v0m,Beyoncé,31244182,"['dance pop', 'pop', 'r&b']",82
7xTcuBOIAAIGDOSvwYFPzk,Daniel Powter,229474,"['canadian pop', 'neo mellow', 'pop rock']",58
11hIqBsGRPztdjBHCSLClX,Daniel Bedingfield,159927,"['dance pop', 'europop']",53
4KOFxteqSAveWCElBVijTy,Joshua Garcia,33503,[],20
1mcqfNCReSFxun2vIWvC28,KZ Tandingan,780677,['opm'],54
719ZCUqy59oGckcB1MzVTx,The Company,20787,[],38
4HOEnLufwAqJ2qoJPVnL01,Callalily,1243899,"['opm', 'pinoy rock']",51
7HJDRQAfEcFiARVehhM6qD,Gloc 9,1022471,"['opm', 'pinoy hip hop', 'pinoy trap', 'tagalog rap']",60
6xfqnpe2HnLVUaYXs2F8YS,Anna Kendrick,310726,['hollywood'],62
5JZ7CnR6gTvEMKX4g70Amv,Lauv,5028355,"['dance pop', 'electropop', 'pop']",78
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,22153498,"['art pop', 'dance pop', 'pop']",83
4EzkuveR9pLvDVFNx6foYD,James Bay,3644279,"['modern rock', 'neo mellow', 'pop', 'pop rock']",72
188VINPQh5dyNfLUkevKqf,Olivia Holt,1020895,"['alt z', 'dance pop', 'pop', 'post-teen pop', 'social media pop']",52
